,team,date,elo
215,Gotland,2017-06-29,1444.1
216,Vanuatu,2026-06-06,1443.5
217,Armenia,2026-06-09,1439.9
218,Liberia,2026-06-09,1438.4
219,Malawi,2026-06-09,1437.0
220,Monaco,2017-04-29,1436.6
221,Tajikistan,2026-06-09,1435.5
222,Western Isles,2025-07-17,1433.9
223,Namibia,2026-03-28,1431.1
224,Manchukuo,1942-08-09,1430.4
225,Faroe Islands,2026-06-09,1430.2
226,Găgăuzia,2006-11-21,1429.7
227,Niue,1983-08-22,1427.2
228,Fiji,2026-06-06,1426.4
229,Cuba,2026-03-29,1423.3
230,Palau,1998-08-01,1421.5
231,Gozo,2025-07-17,1420.6
232,Estonia,2026-06-09,1419.0
233,Marshall Islands,2025-08-16,1417.6
234,Lesotho,2026-06-04,1416.6
235,Saint Barthélemy,2023-03-10,1414.3
236,Tanzania,2026-03-29,1411.0
237,Vatican City,2022-04-22,1408.4
238,Ticino,2023-08-06,1406.3
239,Western Australia,1980-11-25,1401.6
240,Botswana,2026-03-31,1399.8
241,Azerbaijan,2026-06-09,1397.5
242,Orkney,2025-07-17,1397.1
243,Western Sahara,2013-06-28,1396.2
244,Ethiopia,2026-06-09,1393.9
245,Turkmenistan,2025-11-18,1393.2
246,Burundi,2026-05-26,1392.6
247,Two Sicilies,2023-07-02,1385.9
248,Raetia,2023-08-06,1381.4
249,Guinea-Bissau,2026-03-31,1374.0
250,Solomon Islands,2026-03-30,1373.4
251,Cyprus,2026-06-07,1366.5
252,Central African Republic,2026-06-09,1362.5
253,Barawa,2019-05-25,1359.9
254,Yemen DPR,1989-11-05,1358.8
255,Chagos Islands,2019-12-29,1358.3
256,Vietnam Republic,1975-03-23,1352.2
257,Malta,2026-06-05,1351.2
258,Puerto Rico,2026-06-05,1350.3
259,Saint Vincent and the Grenadines,2026-03-29,1348.9
260,Lithuania,2026-06-09,1346.1
261,Saint Helena,2023-07-13,1344.3
262,Philippines,2026-06-09,1344.2
263,Hitra,2025-07-17,1343.3
264,Bermuda,2026-06-06,1341.2
265,Saare County,2017-06-29,1340.9
266,Latvia,2026-06-09,1338.9
267,Micronesia,2003-07-07,1328.8
268,Sark,2003-07-03,1327.7
269,Congo,2025-10-14,1327.0
270,Hong Kong,2026-06-09,1319.2
271,Eswatini,2025-10-13,1316.9
272,Moldova,2026-06-09,1312.6
273,Ambazonia,2007-06-07,1312.1
274,Yemen,2025-11-26,1311.4
275,Singapore,2026-06-05,1298.4
276,Wallis Islands and Futuna,1995-08-20,1295.9
277,Sint Maarten,2026-03-30,1292.7
278,Saint Martin,2026-03-29,1290.8
279,Saint Pierre and Miquelon,2012-09-28,1289.2
280,Grenada,2026-05-16,1287.0
281,Belize,2026-03-30,1286.1
282,Saint Kitts and Nevis,2026-03-30,1273.6
283,South Sudan,2025-11-25,1267.8
284,Tibet,2025-07-03,1266.9
285,Samoa,2024-11-18,1250.6
286,Chad,2025-11-17,1246.6
287,India,2026-06-09,1243.7
288,Montserrat,2025-06-10,1240.1
289,Kiribati,2011-09-05,1234.5
290,Saint Lucia,2026-03-27,1229.5
291,Tuvalu,2023-11-30,1219.6
292,Aruba,2026-06-06,1218.9
293,Falkland Islands,2023-07-13,1214.5
294,Mauritius,2025-10-13,1207.4
295,Darfur,2014-06-07,1201.9
296,Eritrea,2019-09-10,1200.5
297,Frøya,2025-07-17,1194.4
298,São Tomé and Príncipe,2025-10-13,1181.9
299,Dominica,2026-03-30,1177.2
300,Afghanistan,2026-06-10,1172.3
301,Cook Islands,2024-09-06,1147.4
302,Andorra,2026-06-07,1144.4
303,Myanmar,2026-06-09,1138.6
304,Gibraltar,2026-06-06,1135.8
305,Bangladesh,2026-06-05,1134.7
306,Antigua and Barbuda,2025-11-18,1134.5
307,Barbados,2026-03-29,1132.5
308,Bonaire,2026-06-06,1132.5
309,Pakistan,2026-06-10,1122.0
310,Nepal,2025-11-18,1105.6
311,Cambodia,2026-06-09,1079.2
312,Alderney,2022-04-23,1076.0
313,Djibouti,2025-11-26,1075.9
314,Tonga,2024-09-09,1073.1
315,Taiwan,2025-11-18,1062.1
316,Somalia,2025-11-26,1062.0
317,Cayman Islands,2026-06-06,1045.5
318,British Virgin Islands,2026-06-06,1033.2
319,Sri Lanka,2025-11-18,1014.5
320,Seychelles,2025-10-14,1011.8
321,Turks and Caicos Islands,2025-08-16,1010.8
322,Maldives,2026-06-01,1010.5
323,Liechtenstein,2026-06-07,998.6
324,United States Virgin Islands,2026-03-28,993.6
325,Mongolia,2026-06-05,983.8
326,Guam,2026-06-06,979.4
327,Northern Mariana Islands,2024-04-07,970.7
328,Bahamas,2026-03-29,962.7
329,Laos,2025-11-19,941.2
330,American Samoa,2026-03-28,934.4
331,Timor-Leste,2025-11-18,907.0
332,Anguilla,2026-03-29,906.0
333,San Marino,2026-06-09,896.0
334,Brunei,2025-11-18,893.6
335,Bhutan,2026-06-04,862.3
336,Macau,2026-03-29,841.1
